Category: All categories

Region,antidepressants: (2006)
Montana,100
Alabama,79
Vermont,78
Mississippi,64
New Mexico,62
North Dakota,59
New Hampshire,59
Maine,59
Alaska,58
Delaware,57
Minnesota,56
Indiana,54
Wisconsin,53
Rhode Island,51
Kentucky,51
Connecticut,50
Utah,50
Ohio,49
Tennessee,49
Iowa,48
Washington,48
Colorado,47
Pennsylvania,47
Massachusetts,46
North Carolina,46
Nebraska,46
Maryland,44
Kansas,43
Georgia,42
New York,41
Oklahoma,41
Texas,41
Missouri,41
Nevada,40
Virginia,39
Oregon,39
Arizona,39
District of Columbia,39
Illinois,38
Michigan,38
West Virginia,37
New Jersey,37
Hawaii,36
California,36
Louisiana,35
Idaho,35
Florida,34
South Carolina,34
Arkansas,34
South Dakota,25
Wyoming,
