Category: All categories

Region,antidepressants: (2011)
Montana,100
Wyoming,97
West Virginia,95
Maine,90
Idaho,87
Kentucky,87
Indiana,81
South Dakota,80
Arkansas,79
Oregon,77
Tennessee,77
New Hampshire,76
Kansas,76
Rhode Island,75
Ohio,75
Alabama,74
Vermont,74
Minnesota,72
Wisconsin,71
Oklahoma,70
Nebraska,70
North Dakota,70
Pennsylvania,70
South Carolina,69
Massachusetts,69
Mississippi,68
Iowa,68
Delaware,68
Louisiana,67
Missouri,66
Utah,64
North Carolina,64
New Mexico,63
Connecticut,63
Washington,62
Michigan,62
Maryland,62
Arizona,61
Colorado,60
Georgia,60
Virginia,60
Alaska,58
Illinois,55
New Jersey,55
Nevada,54
Florida,53
District of Columbia,51
Texas,49
New York,49
Hawaii,47
California,45
