Category: All categories

Region,antidepressants: (2008)
Vermont,100
Montana,96
Alabama,79
Minnesota,75
Kentucky,75
Connecticut,74
Iowa,72
Wyoming,71
Indiana,70
Oklahoma,70
Tennessee,69
Utah,69
Michigan,69
Oregon,68
Washington,65
Pennsylvania,65
Ohio,65
Missouri,65
Louisiana,64
New Mexico,64
North Carolina,64
New Jersey,63
Arizona,62
Kansas,62
Colorado,62
Texas,61
Massachusetts,61
Maryland,61
Wisconsin,60
Rhode Island,60
Georgia,58
Mississippi,58
New Hampshire,58
Maine,58
Arkansas,57
South Carolina,57
Nebraska,55
Illinois,54
Delaware,54
West Virginia,54
Idaho,53
Florida,52
District of Columbia,51
South Dakota,51
New York,50
Virginia,44
Alaska,44
California,41
North Dakota,40
Nevada,31
Hawaii,25
