Category: All categories

Region,antidepressants: (2021)
Vermont,100
Montana,96
Wyoming,95
Idaho,95
New Hampshire,86
Kentucky,86
North Dakota,85
Arkansas,85
West Virginia,84
South Dakota,84
Rhode Island,79
Iowa,79
Nebraska,79
Maine,78
Indiana,78
New Mexico,77
Oregon,76
Kansas,76
Utah,75
Oklahoma,74
Missouri,73
Wisconsin,72
Minnesota,72
Washington,72
Colorado,71
Tennessee,70
Alabama,69
Mississippi,69
Ohio,67
Pennsylvania,67
South Carolina,67
Connecticut,66
Massachusetts,66
District of Columbia,65
Louisiana,65
Michigan,64
Alaska,63
Virginia,63
Nevada,61
North Carolina,60
Arizona,60
Maryland,59
Illinois,59
Delaware,58
Texas,57
New Jersey,57
Florida,56
California,54
Hawaii,53
Georgia,53
New York,53
