Category: All categories

Region,common ways to die: (2006)
New Mexico,
Vermont,
Iowa,
New Hampshire,
Michigan,
District of Columbia,
Washington,
Pennsylvania,
Alaska,
Alabama,
Arkansas,
Arizona,
California,
Colorado,
Connecticut,
Delaware,
Florida,
Georgia,
Hawaii,
Idaho,
Illinois,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Maine,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Jersey,
Nevada,
New York,
Ohio,
Oklahoma,
Oregon,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Texas,
Utah,
Virginia,
Wisconsin,
West Virginia,
Wyoming,
