Category: All categories

Region,common ways to die: (2012)
North Dakota,
Vermont,
Delaware,
New Hampshire,
Mississippi,
Louisiana,
Iowa,
Oregon,
South Carolina,
Michigan,
Ohio,
Tennessee,
Virginia,
New Jersey,
Illinois,
Missouri,
California,
Pennsylvania,
Massachusetts,
Florida,
New York,
Texas,
Alaska,
Alabama,
Arkansas,
Arizona,
Colorado,
Connecticut,
District of Columbia,
Georgia,
Hawaii,
Idaho,
Indiana,
Kansas,
Kentucky,
Maryland,
Maine,
Minnesota,
Montana,
North Carolina,
Nebraska,
New Mexico,
Nevada,
Oklahoma,
Rhode Island,
South Dakota,
Utah,
Washington,
Wisconsin,
West Virginia,
Wyoming,
