Category: All categories

Region,common ways to die: (2013)
South Dakota,
Vermont,
Alaska,
Mississippi,
Nevada,
Rhode Island,
Alabama,
Hawaii,
Kentucky,
Colorado,
South Carolina,
Connecticut,
Wisconsin,
Ohio,
Tennessee,
Massachusetts,
District of Columbia,
Indiana,
New Jersey,
Florida,
Virginia,
Minnesota,
California,
Texas,
Georgia,
New York,
Michigan,
Pennsylvania,
Illinois,
Arkansas,
Arizona,
Delaware,
Iowa,
Idaho,
Kansas,
Louisiana,
Maryland,
Maine,
Missouri,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Oklahoma,
Oregon,
Utah,
Washington,
West Virginia,
Wyoming,
