Category: All categories

Region,common ways to die: (2016)
South Dakota,
Connecticut,
Nevada,
Maryland,
Utah,
New Hampshire,
Tennessee,
Louisiana,
Michigan,
Georgia,
Kansas,
Colorado,
Missouri,
Virginia,
Illinois,
New Jersey,
Ohio,
North Carolina,
Pennsylvania,
New York,
Florida,
California,
Texas,
Alaska,
Alabama,
Arkansas,
Arizona,
District of Columbia,
Delaware,
Hawaii,
Iowa,
Idaho,
Indiana,
Kentucky,
Massachusetts,
Maine,
Minnesota,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Mexico,
Oklahoma,
Oregon,
Rhode Island,
South Carolina,
Vermont,
Washington,
Wisconsin,
West Virginia,
Wyoming,
