Category: All categories

Region,common ways to die: (2011)
New Hampshire,
Vermont,
Maine,
Oregon,
Nevada,
Iowa,
Utah,
South Carolina,
Massachusetts,
District of Columbia,
Tennessee,
Indiana,
Colorado,
Ohio,
Virginia,
Pennsylvania,
California,
Florida,
Texas,
Illinois,
New York,
Alaska,
Alabama,
Arkansas,
Arizona,
Connecticut,
Delaware,
Georgia,
Hawaii,
Idaho,
Kansas,
Kentucky,
Louisiana,
Maryland,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Jersey,
New Mexico,
Oklahoma,
Rhode Island,
South Dakota,
Washington,
Wisconsin,
West Virginia,
Wyoming,
