Category: All categories

Region,drug policy: (2008)
New Mexico,100
Wyoming,
Vermont,
North Dakota,
Kentucky,61
New Hampshire,58
South Dakota,
South Carolina,52
District of Columbia,51
Kansas,50
West Virginia,49
Maryland,44
Nebraska,44
Montana,
Pennsylvania,41
Oregon,39
Michigan,39
Rhode Island,39
North Carolina,38
Ohio,37
Nevada,36
New York,35
New Jersey,34
Minnesota,34
Oklahoma,34
Utah,34
Mississippi,34
Illinois,33
Louisiana,33
Washington,33
Indiana,32
Massachusetts,32
Iowa,31
Georgia,30
Arkansas,30
Maine,30
Wisconsin,30
Arizona,29
Texas,29
Hawaii,
Tennessee,28
Florida,27
Missouri,27
Connecticut,27
Virginia,27
California,26
Colorado,25
Alabama,22
Alaska,
Delaware,
Idaho,
