Category: All categories

Region,painless death: (2009)
Wyoming,
South Dakota,
Mississippi,
Louisiana,
Kansas,
Oregon,
Utah,
Massachusetts,
Nevada,
New Jersey,100
Minnesota,
North Carolina,
New York,50
Michigan,
Illinois,50
Washington,
California,33
Virginia,
Texas,16
Georgia,
Alaska,
Alabama,
Arkansas,
Arizona,
Colorado,
Connecticut,
District of Columbia,
Delaware,
Florida,
Hawaii,
Iowa,
Idaho,
Indiana,
Kentucky,
Maryland,
Maine,
Missouri,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Ohio,
Oklahoma,
Pennsylvania,
Rhode Island,
South Carolina,
Tennessee,
Vermont,
Wisconsin,
West Virginia,
