Category: All categories

Region,painless death: (2012)
New Hampshire,
Idaho,
Alaska,
Rhode Island,
Utah,
Maine,
South Carolina,
Arkansas,
Maryland,
Pennsylvania,
Tennessee,
District of Columbia,
Nevada,
Connecticut,
Virginia,
Massachusetts,
California,100
Mississippi,
Colorado,
Missouri,
New York,100
New Jersey,100
Illinois,100
Kansas,
Minnesota,
Indiana,
Michigan,
Oregon,
Texas,100
Wisconsin,
Florida,66
North Carolina,
Alabama,
Georgia,
Ohio,66
Arizona,
Louisiana,
Washington,
Delaware,
Hawaii,
Iowa,
Kentucky,
Montana,
North Dakota,
Nebraska,
New Mexico,
Oklahoma,
South Dakota,
Vermont,
West Virginia,
Wyoming,
