Category: All categories

Region,painless death: (2016)
Vermont,
Idaho,
Montana,
South Carolina,
West Virginia,
Missouri,
Louisiana,
Arkansas,
New Mexico,
Arizona,
Alabama,
Tennessee,
New Hampshire,
Kentucky,
Utah,
Massachusetts,
Hawaii,
Maryland,
Colorado,
Wisconsin,
New York,100
Iowa,
Pennsylvania,
Illinois,75
Oklahoma,
Florida,75
Georgia,
California,75
New Jersey,75
Michigan,
Ohio,75
Connecticut,
North Carolina,
Nevada,
Texas,75
Washington,
Indiana,
Virginia,
Minnesota,
Kansas,
Alaska,
District of Columbia,
Delaware,
Maine,
Mississippi,
North Dakota,
Nebraska,
Oregon,
Rhode Island,
South Dakota,
Wyoming,
