Category: All categories

Region,mental health: (2008)
Vermont,100
New Hampshire,96
Alaska,91
Montana,91
Maine,82
Kansas,80
Wyoming,79
Minnesota,74
Maryland,72
Oregon,71
Mississippi,70
Alabama,70
Colorado,70
Iowa,70
Oklahoma,69
North Carolina,69
Rhode Island,67
South Carolina,65
West Virginia,65
Massachusetts,64
Wisconsin,64
Utah,63
North Dakota,63
Indiana,62
Washington,62
Tennessee,61
Delaware,61
Connecticut,61
Nebraska,60
Missouri,60
South Dakota,57
Michigan,56
District of Columbia,56
New York,56
Louisiana,55
Nevada,53
Ohio,52
New Mexico,52
Kentucky,52
Florida,52
Hawaii,52
Arkansas,51
Pennsylvania,49
Illinois,48
Idaho,48
Georgia,41
California,41
Arizona,39
Texas,39
New Jersey,39
Virginia,38
