Category: All categories

Region,mental health: (2013)
Montana,100
Vermont,98
Alaska,85
Minnesota,82
Maine,82
Kansas,82
New Hampshire,81
Colorado,78
Massachusetts,70
Alabama,69
Wisconsin,67
Mississippi,67
Maryland,66
Wyoming,65
Idaho,65
Iowa,65
District of Columbia,65
Washington,65
Michigan,62
Utah,62
South Carolina,61
Tennessee,61
North Dakota,61
North Carolina,59
New York,58
Connecticut,58
Rhode Island,58
Missouri,58
Nebraska,58
Delaware,57
Ohio,56
New Mexico,55
Indiana,55
Oklahoma,55
Pennsylvania,55
South Dakota,55
Virginia,54
West Virginia,53
Arkansas,52
California,49
Louisiana,47
Illinois,47
Florida,47
New Jersey,44
Oregon,43
Georgia,43
Nevada,42
Kentucky,41
Hawaii,39
Arizona,39
Texas,31
