Category: All categories

Region,mental health: (2014)
Montana,100
Vermont,93
New Hampshire,83
Minnesota,82
Alaska,76
Maine,75
Colorado,74
Massachusetts,71
Alabama,69
Wisconsin,68
Washington,67
Maryland,66
Kansas,65
Wyoming,65
Iowa,65
Rhode Island,64
South Carolina,63
Idaho,63
Michigan,63
North Dakota,63
Indiana,62
Mississippi,60
Delaware,60
Tennessee,59
Utah,58
Missouri,58
South Dakota,56
North Carolina,56
New York,55
New Mexico,55
Nebraska,54
Connecticut,53
District of Columbia,52
Arkansas,52
Pennsylvania,52
Ohio,52
California,48
Illinois,47
Louisiana,47
West Virginia,46
Florida,45
Oregon,44
Oklahoma,43
New Jersey,43
Georgia,43
Nevada,42
Arizona,40
Kentucky,39
Virginia,38
Hawaii,37
Texas,32
