Category: All categories

Region,how to die: (2013)
West Virginia,100
South Dakota,97
Arkansas,90
New Mexico,87
Delaware,87
Iowa,86
Indiana,86
Idaho,86
Alabama,86
Kentucky,84
North Dakota,84
South Carolina,83
Nebraska,81
Mississippi,81
Wyoming,80
Nevada,80
Pennsylvania,79
Montana,76
Rhode Island,76
Kansas,76
Vermont,75
Maine,75
Wisconsin,75
Arizona,75
Utah,74
Alaska,74
Ohio,74
Louisiana,74
New Hampshire,73
Oklahoma,73
Hawaii,73
Tennessee,72
Michigan,72
Missouri,72
California,72
Connecticut,71
North Carolina,69
Illinois,69
Texas,69
Colorado,68
New Jersey,66
Florida,65
Georgia,64
Minnesota,64
New York,63
Maryland,63
Virginia,62
Washington,60
Massachusetts,57
Oregon,48
District of Columbia,44
