Category: All categories

Region,how to die: (2017)
Wyoming,100
West Virginia,97
South Dakota,91
Arkansas,91
Maine,89
Indiana,88
Idaho,88
Iowa,87
Montana,87
Mississippi,86
Ohio,86
North Dakota,84
Vermont,82
Oklahoma,81
Alaska,81
Utah,80
Kentucky,79
Delaware,77
Pennsylvania,77
New Mexico,77
New Hampshire,76
Missouri,75
North Carolina,75
Nevada,74
Nebraska,73
Michigan,72
Rhode Island,72
Kansas,71
Tennessee,70
Alabama,70
South Carolina,69
Wisconsin,69
Virginia,68
Colorado,68
New Jersey,67
California,67
Arizona,66
Hawaii,66
Texas,66
Georgia,66
Louisiana,65
Connecticut,64
Oregon,63
Minnesota,62
Illinois,62
Washington,62
Massachusetts,57
Florida,57
New York,57
Maryland,55
District of Columbia,43
