Category: All categories

Region,bipolar: (2008)
Delaware,100
Rhode Island,79
New Hampshire,78
Montana,78
Arkansas,77
South Dakota,76
West Virginia,75
Mississippi,73
Oklahoma,73
Alabama,73
North Dakota,71
Maine,70
Louisiana,70
Kentucky,69
Iowa,68
Kansas,68
Tennessee,68
Nebraska,68
Maryland,66
Colorado,66
Indiana,66
Wyoming,66
New Mexico,65
Wisconsin,65
Connecticut,64
Utah,64
Idaho,64
Michigan,64
North Carolina,64
South Carolina,64
Vermont,63
Pennsylvania,61
Missouri,61
Alaska,61
Ohio,60
Oregon,59
Arizona,59
Massachusetts,59
Georgia,57
Hawaii,56
New Jersey,56
Minnesota,56
Washington,56
Texas,55
New York,55
District of Columbia,52
Florida,52
Illinois,52
Nevada,51
California,50
Virginia,49
