Category: All categories

Region,Paranoid: (2008)
Delaware,100
Maine,87
Oregon,67
New Hampshire,58
Idaho,58
New York,57
New Mexico,55
Louisiana,54
New Jersey,53
Massachusetts,53
Rhode Island,52
Kansas,51
Illinois,50
Maryland,50
Pennsylvania,50
Connecticut,49
West Virginia,48
Missouri,48
Wisconsin,48
Indiana,48
Arkansas,47
Washington,47
Michigan,46
North Carolina,45
Vermont,44
Nebraska,44
Kentucky,44
Ohio,44
Tennessee,44
California,42
Virginia,42
Iowa,42
South Dakota,41
Arizona,41
Texas,40
Florida,40
Minnesota,40
Colorado,40
Alabama,40
Oklahoma,39
District of Columbia,38
South Carolina,38
Nevada,37
Hawaii,37
Georgia,36
North Dakota,36
Utah,33
Mississippi,31
Alaska,24
Wyoming,22
Montana,22
