Category: All categories

Region,fast death: (2012)
Wisconsin,100
West Virginia,
Oklahoma,80
Idaho,80
Rhode Island,
Kansas,75
Arkansas,75
Oregon,75
Montana,
Kentucky,70
District of Columbia,
Missouri,70
Indiana,65
Utah,65
New Hampshire,65
Arizona,65
Pennsylvania,65
Texas,60
Tennessee,60
Ohio,60
Florida,55
Alabama,55
Nevada,55
North Dakota,
Maryland,55
Minnesota,50
Virginia,50
South Carolina,50
California,50
Illinois,50
North Carolina,50
Georgia,50
New Jersey,45
Connecticut,45
Iowa,45
Colorado,45
Mississippi,45
New York,45
Nebraska,45
Massachusetts,45
Michigan,45
Washington,40
Louisiana,40
Alaska,
Delaware,
Hawaii,
Maine,
New Mexico,
South Dakota,
Vermont,
Wyoming,
