Category: All categories

Region,time to die: (2015)
South Dakota,100
Rhode Island,80
Wyoming,79
Montana,76
Idaho,74
Arkansas,69
Missouri,59
Mississippi,59
North Dakota,56
Delaware,56
West Virginia,53
Iowa,53
Wisconsin,51
Utah,51
Kentucky,50
Ohio,49
Arizona,49
Tennessee,49
New Mexico,46
Indiana,46
Vermont,45
Colorado,45
Nevada,44
Alabama,44
North Carolina,44
Michigan,44
Florida,43
Massachusetts,43
Oklahoma,41
Pennsylvania,41
Maryland,39
California,39
Kansas,38
New Jersey,38
Illinois,38
Minnesota,38
South Carolina,38
New York,37
Texas,37
Connecticut,37
Maine,37
Oregon,37
Georgia,37
Louisiana,35
Hawaii,35
New Hampshire,35
Washington,32
Nebraska,30
Virginia,28
District of Columbia,25
Alaska,19
