Category: All categories

Region,poisoning: (2004)
Wyoming,100
South Dakota,99
Delaware,90
Idaho,79
West Virginia,76
Kentucky,76
Oregon,76
Vermont,75
Iowa,75
Maine,73
Arkansas,71
New Mexico,70
Oklahoma,68
Connecticut,67
Alaska,67
Kansas,65
Indiana,65
Michigan,65
Louisiana,63
New Hampshire,63
Pennsylvania,62
Montana,61
Missouri,61
Nebraska,60
Ohio,59
North Dakota,57
Virginia,57
Utah,56
Minnesota,56
Wisconsin,56
Georgia,56
Hawaii,56
Massachusetts,54
Rhode Island,54
Arizona,54
Washington,54
Alabama,54
North Carolina,54
Illinois,54
Maryland,53
District of Columbia,53
Florida,52
South Carolina,51
New Jersey,51
New York,51
Tennessee,51
Colorado,51
California,49
Texas,47
Nevada,47
Mississippi,42
