Category: All categories

Region,poisoning: (2009)
West Virginia,100
South Dakota,89
Rhode Island,88
Alaska,87
Montana,87
New Hampshire,86
Maine,86
North Dakota,84
Kansas,82
Hawaii,82
Oregon,81
Vermont,81
Nebraska,80
New Mexico,80
Kentucky,79
Michigan,77
Wyoming,77
Maryland,77
Iowa,76
Indiana,76
Colorado,75
Alabama,74
Minnesota,74
Utah,74
Oklahoma,73
Missouri,73
Ohio,71
Tennessee,71
Connecticut,71
Wisconsin,70
North Carolina,70
Nevada,70
Mississippi,69
Arkansas,68
South Carolina,68
Massachusetts,68
Pennsylvania,67
Washington,66
Arizona,66
Louisiana,66
Idaho,66
Texas,65
Georgia,65
New York,63
Illinois,62
Florida,61
District of Columbia,60
New Jersey,59
Delaware,54
California,53
Virginia,34
