Category: All categories

Region,poisoning: (2013)
Wyoming,100
West Virginia,92
Montana,86
Hawaii,86
Idaho,86
Tennessee,85
Missouri,84
Maine,83
Michigan,82
Washington,82
Alaska,81
Nebraska,81
Vermont,81
Massachusetts,81
California,81
Pennsylvania,80
Arkansas,79
Illinois,79
South Dakota,79
North Dakota,79
Colorado,78
Nevada,78
Wisconsin,78
Ohio,77
Florida,77
Minnesota,77
Mississippi,76
North Carolina,76
Indiana,76
Arizona,76
Rhode Island,76
Utah,75
Oklahoma,75
New Mexico,75
Virginia,75
Kentucky,75
Alabama,75
Kansas,74
Iowa,73
Maryland,73
New Hampshire,73
Delaware,72
District of Columbia,72
South Carolina,71
Georgia,71
New York,70
Louisiana,68
Connecticut,68
New Jersey,68
Texas,66
Oregon,49
