Category: All categories

Region,poisoning: (2011)
Vermont,100
Wyoming,96
Maine,95
Montana,94
New Hampshire,91
Alaska,91
West Virginia,90
South Dakota,89
Kentucky,88
Pennsylvania,86
Iowa,86
Nebraska,86
Washington,84
New Mexico,84
North Carolina,84
Hawaii,83
Idaho,82
Alabama,82
Oklahoma,81
Indiana,81
Kansas,80
Utah,80
South Carolina,79
Mississippi,79
Massachusetts,79
Oregon,79
Ohio,79
Rhode Island,78
Illinois,78
New York,78
California,78
Louisiana,77
Colorado,77
Texas,76
Connecticut,76
North Dakota,76
Missouri,75
Arkansas,75
Georgia,75
Minnesota,75
Michigan,75
District of Columbia,74
Tennessee,74
Maryland,73
Nevada,73
Wisconsin,72
Arizona,72
Florida,71
Delaware,70
Virginia,70
New Jersey,64
