Category: All categories

Region,poisoning: (2016)
Maine,100
Michigan,96
Wyoming,92
Montana,90
Ohio,88
West Virginia,88
South Dakota,88
Alaska,87
Hawaii,86
Idaho,86
Vermont,85
North Dakota,85
Indiana,85
Washington,84
Wisconsin,82
Nebraska,80
Oregon,80
Illinois,80
Missouri,80
Florida,79
Arizona,79
New Mexico,78
Delaware,78
Tennessee,78
Maryland,77
California,77
Minnesota,77
New Hampshire,77
Colorado,76
Pennsylvania,75
Georgia,75
Virginia,75
Utah,75
North Carolina,74
Iowa,74
Kentucky,74
Rhode Island,73
Alabama,73
Massachusetts,73
Mississippi,73
Arkansas,72
Oklahoma,72
Nevada,71
New Jersey,71
South Carolina,70
New York,69
Connecticut,68
Texas,66
District of Columbia,66
Kansas,66
Louisiana,63
