Category: All categories

Region,poisoning: (2012)
West Virginia,100
Wyoming,97
Washington,96
Maine,94
South Dakota,93
Minnesota,92
Alaska,92
Hawaii,91
Ohio,89
Montana,88
New Mexico,87
Michigan,87
New Hampshire,86
Illinois,86
Kentucky,85
Utah,85
Pennsylvania,85
North Dakota,84
Vermont,84
Alabama,83
Rhode Island,83
Oklahoma,83
Massachusetts,82
Oregon,82
Virginia,82
Indiana,82
Delaware,82
Arkansas,81
District of Columbia,81
Georgia,80
Kansas,80
Florida,80
Nebraska,80
South Carolina,79
California,79
Nevada,79
Missouri,79
New York,78
North Carolina,78
Colorado,78
Idaho,77
Texas,77
Arizona,76
Iowa,76
Tennessee,75
Wisconsin,75
New Jersey,74
Louisiana,73
Mississippi,73
Maryland,72
Connecticut,71
