Category: All categories

Region,how to die: (2012)
South Dakota,100
Wyoming,94
Arkansas,86
Idaho,84
West Virginia,82
Indiana,82
Kentucky,80
Kansas,80
Maine,77
Utah,76
Mississippi,75
Alabama,75
Hawaii,73
Vermont,73
Rhode Island,72
Iowa,71
New Mexico,71
New Hampshire,70
Oklahoma,70
Delaware,70
Nevada,69
Montana,69
Louisiana,69
Tennessee,68
South Carolina,67
Wisconsin,66
New Jersey,65
Arizona,65
Connecticut,65
California,64
Maryland,64
North Dakota,64
Pennsylvania,64
Ohio,64
Texas,63
Missouri,63
Florida,63
Michigan,63
Virginia,62
Illinois,62
Oregon,61
North Carolina,60
Nebraska,60
Colorado,58
Alaska,58
Washington,57
Minnesota,57
Georgia,56
New York,53
Massachusetts,51
District of Columbia,39
