Category: All categories

Region,how to die: (2015)
Idaho,100
West Virginia,98
Arkansas,98
Alabama,95
Mississippi,95
Wyoming,94
Maine,93
South Dakota,91
New Hampshire,91
Indiana,91
Utah,87
New Mexico,86
Kentucky,86
North Dakota,85
Nevada,85
South Carolina,85
Nebraska,84
Iowa,84
Alaska,83
Louisiana,83
Vermont,82
Missouri,79
Ohio,78
Wisconsin,77
North Carolina,77
California,76
Kansas,76
Montana,76
Michigan,76
Rhode Island,74
Arizona,73
Tennessee,73
Colorado,73
Pennsylvania,72
Delaware,71
Minnesota,71
Florida,70
Hawaii,70
Georgia,70
Oklahoma,70
Texas,68
Illinois,67
Connecticut,67
New Jersey,64
Maryland,63
New York,63
Oregon,61
Washington,60
Massachusetts,58
District of Columbia,50
Virginia,44
