Category: All categories

Region,how to die: (2009)
Mississippi,100
West Virginia,98
North Dakota,97
Arkansas,96
South Dakota,92
Nevada,89
Michigan,82
Tennessee,81
Kentucky,81
Oklahoma,81
Rhode Island,81
Indiana,79
Wyoming,78
New Hampshire,76
South Carolina,75
Ohio,75
Idaho,74
Utah,74
Florida,72
Pennsylvania,72
Alaska,71
Missouri,71
Wisconsin,70
Maine,70
Louisiana,70
Delaware,69
Kansas,68
North Carolina,68
Oregon,68
New Jersey,68
Georgia,66
Alabama,66
Maryland,65
Connecticut,65
Texas,65
Hawaii,64
Montana,64
New York,63
Arizona,62
Vermont,61
Washington,60
Nebraska,59
Illinois,58
Colorado,56
New Mexico,56
District of Columbia,56
Iowa,55
Minnesota,55
Massachusetts,51
California,40
Virginia,34
