Category: All categories

Region,how to die: (2014)
Idaho,100
Arkansas,93
Iowa,89
Indiana,88
Alaska,87
North Dakota,86
Montana,86
Maine,84
West Virginia,83
Kentucky,83
South Dakota,82
Utah,80
Nebraska,79
South Carolina,79
New Hampshire,78
Kansas,78
Mississippi,76
Wyoming,75
Rhode Island,74
Oklahoma,73
Delaware,73
Pennsylvania,72
Tennessee,72
Alabama,72
Missouri,72
Michigan,71
New Mexico,71
Hawaii,69
Wisconsin,69
California,69
Ohio,69
North Carolina,69
Nevada,68
Connecticut,68
Arizona,67
Louisiana,67
Georgia,66
Vermont,66
Florida,65
Illinois,65
Colorado,65
Texas,63
Minnesota,63
New Jersey,63
Washington,60
Maryland,59
New York,59
Massachusetts,57
Virginia,47
Oregon,42
District of Columbia,39
