Category: All categories

Region,how to die: (2010)
Indiana,100
West Virginia,98
Mississippi,94
Kentucky,94
Delaware,91
Nebraska,90
North Dakota,89
New Hampshire,88
New Mexico,86
Kansas,86
Michigan,85
Louisiana,84
Alabama,84
Hawaii,83
Iowa,82
South Carolina,81
Wyoming,80
Arkansas,79
South Dakota,78
Oklahoma,78
Missouri,77
Nevada,77
Ohio,77
Utah,76
Florida,75
Tennessee,75
Connecticut,75
Arizona,73
Pennsylvania,71
Idaho,71
Rhode Island,71
Montana,70
Oregon,70
North Carolina,70
Colorado,69
Maine,69
Washington,69
Minnesota,68
Wisconsin,66
Georgia,66
New Jersey,64
Illinois,64
Texas,64
District of Columbia,60
New York,59
Massachusetts,57
Maryland,56
Alaska,54
Vermont,44
California,37
Virginia,31
