Category: All categories

Region,overdose: (2009)
West Virginia,100
Vermont,94
Idaho,92
South Dakota,89
Montana,88
New Mexico,88
Louisiana,87
Mississippi,86
Alaska,84
Utah,84
Kentucky,84
Tennessee,84
Michigan,84
Oklahoma,84
Kansas,83
North Dakota,83
Indiana,83
Rhode Island,82
Missouri,82
Nevada,82
Wisconsin,80
Maine,79
Pennsylvania,79
Arizona,79
Ohio,78
Oregon,78
Alabama,78
Arkansas,77
Washington,74
North Carolina,74
Connecticut,73
Massachusetts,72
Delaware,71
Minnesota,70
Colorado,70
New Hampshire,69
South Carolina,69
Florida,69
Illinois,69
Nebraska,67
Maryland,67
Iowa,67
New Jersey,66
Georgia,66
Hawaii,63
Texas,62
New York,61
District of Columbia,61
Wyoming,56
California,52
Virginia,41
