Category: All categories

Region,overdose: (2008)
West Virginia,100
Vermont,84
Alaska,81
Arkansas,77
Alabama,76
Oregon,74
Oklahoma,73
Tennessee,70
Maine,70
Utah,69
Kentucky,68
New Mexico,67
Mississippi,66
Nebraska,66
South Dakota,66
Montana,66
Indiana,66
Missouri,66
Kansas,65
Idaho,65
Connecticut,65
Rhode Island,65
Louisiana,65
New Hampshire,64
Colorado,64
Michigan,63
Washington,63
Pennsylvania,62
Ohio,62
Arizona,62
Maryland,62
Massachusetts,61
Wisconsin,61
South Carolina,60
North Carolina,60
Minnesota,59
Nevada,59
Florida,58
Illinois,58
North Dakota,57
Georgia,56
New Jersey,55
Delaware,54
Wyoming,53
Iowa,52
Hawaii,52
Texas,52
New York,51
District of Columbia,46
California,46
Virginia,46
