Category: All categories

Region,overdose: (2010)
Montana,100
Mississippi,99
Tennessee,97
Alabama,97
South Dakota,95
Delaware,94
Wyoming,93
West Virginia,93
Kentucky,92
Indiana,91
New Mexico,91
Oklahoma,89
Idaho,89
Rhode Island,88
Oregon,87
Maine,87
Missouri,85
New Hampshire,85
Iowa,85
Michigan,85
Vermont,84
Arkansas,84
South Carolina,84
Louisiana,83
Utah,83
Washington,83
Kansas,83
Wisconsin,83
Arizona,82
Alaska,81
Pennsylvania,81
Ohio,80
North Carolina,79
Connecticut,79
Colorado,79
Maryland,76
New York,75
Nebraska,75
North Dakota,75
Texas,74
Nevada,74
Massachusetts,73
Minnesota,73
Florida,72
Hawaii,71
Georgia,71
District of Columbia,70
Illinois,70
New Jersey,69
California,52
Virginia,48
